Domain Name,Domain Type,Agency,City,State
cnn.com,,CNN,,
ap.org,,Associated Press,,
huffingtonpost.com,,Huffington Post,,
forbes.com,,Forbes,,
foxnews.com,,Fox News,,
cbsnews.com,,CBS,,
reuters.com,,Reuters,,
latimes.com,,LA Times,,
spiegel.de,,Der Spiegel,,
aljazeera.com,,Al Jazeera,,
welt.de,,Die Welt,,
faz.net,,FAZ,,
lexpress.fr,,L'Express,,
lemonde.fr,,Le Monde,,
thestar.com,,Toronto Star,,
theglobeandmail.com,,The Globe and Mail,,
chicagotribune.com,,Chicago Tribune,,
nydailynews.com,,NY Daily News,,
startribune.com,,Minneapolis Star Tribune,,
baltimoresun.com,,Baltimore Sun,,
courant.com,,Hartford Courant,,
bloomberg.com,,Bloomberg,,
bloomberg.com,,Businessweek,,
theintercept.com,,The Intercept,,
techcrunch.com,,TechCrunch,,
propublica.org,,ProPublica,,
zeit.de,,Die Zeit,,
ajc.com,,Atlanta Journal-Constitution,,
wired.com,,Wired,,
newyorker.com,,The New Yorker,,
nj.com,,NJ Star-Ledger,,
abcnews.com,,ABC News,,
bbc.co.uk,,BBC,,
time.com,,Time,,
daliymail.co.uk,,Daily Mail,,
stltoday.com,,St. Louis Post-Dispatch,,
theguardian.com,,The Guardian,,
msnbc.com,,MSNBC,,
wsj.com,,Wall Street Journal,,
thedailybeast.com,,The Daily Beast,,
nbcnews.com,,NBC News,,
cnbc.com,,CNBC,,
nypost.com,,NY Post,,
thesun.co.uk,,The Sun,,
mirror.co.uk,,Daily Mirror,,
ft.com,,Financial Times,,
suntimes.com,,Chicago Sun-Times,,
dallasnews.com,,Dallas Morning News,,
sfgate.com,,San Francisco Chronicle,,
bostonherald.com,,Boston Herald,,
kansascity.com,,Kansas City Star,,
philly.com,,Philadelphia Inquirer,,
nytimes.com,,New York Times,,
buzzfeed.com,,BuzzFeed,,
gawker.com,,Gawker,,
theatlantic.com,,The Atlantic,,
vice.com,,Vice,,
mashable.com,,Mashable,,
salon.com,,Salon,,
cbc.ca,,CBC,,
mercurynews.com,,San Jose Mercury News,,
usatoday.com,,USA Today,,
washingtonpost.com,,Washington Post,,
bostonglobe.com,,Boston Globe,,
slate.com,,Slate,,
freep.com,,Detroit Free Press,,
