Domain,Base Domain,Canonical,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HSTS,HSTS Header,HSTS Max Age,HSTS All Subdomains,HSTS Preload Ready,HSTS Preloaded,Broken Root,Broken WWW
foxnews.com,foxnews.com,http://www.foxnews.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
cnn.com,cnn.com,http://www.cnn.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
huffingtonpost.com,huffingtonpost.com,http://www.huffingtonpost.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
forbes.com,forbes.com,http://forbes.com,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
reuters.com,reuters.com,http://www.reuters.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
latimes.com,latimes.com,http://www.latimes.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
thestar.com,thestar.com,https://www.thestar.com,True,False,,True,True,False,False,False,False,False,,,False,False,False,False,False
lemonde.fr,lemonde.fr,http://www.lemonde.fr,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
nydailynews.com,nydailynews.com,http://www.nydailynews.com,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
faz.net,faz.net,http://www.faz.net,True,False,,True,False,True,False,False,False,False,,,False,False,False,False,False
spiegel.de,spiegel.de,http://www.spiegel.de,True,False,,True,False,True,False,False,False,False,,,False,False,False,False,False
cbsnews.com,cbsnews.com,http://www.cbsnews.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
chicagotribune.com,chicagotribune.com,http://www.chicagotribune.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
baltimoresun.com,baltimoresun.com,http://www.baltimoresun.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
courant.com,courant.com,http://www.courant.com,True,False,,False,False,False,False,False,True,False,,,False,False,False,False,False
bloomberg.com,bloomberg.com,http://www.bloomberg.com,True,False,,True,False,False,False,False,False,False,,,False,False,False,False,False
